question_text,option_a,option_b,option_c,option_d,correct_option
You are currently serving as a cybersecurity analyst at a global banking corporation...,Review the firewall logs regularly...,Implement stringent password policies...,"Perform detailed monitoring of system and file activity, incorporate anomaly detection techniques...",Implement strict access control lists (ACLs)...,C
"As the cybersecurity head for a top-tier SaaS firm, you are scrutinizing ""SilentRaven""...",Engage a renowned third-party security firm...,Prioritize application-layer defenses...,Roll out a renowned cloud-specific threat detection system...,Execute a dual-layer defense strategy: Continual vulnerability assessment...,D
"During a cybersecurity operation, a CEH professional discovered an unknown Bluetooth Low Energy (BLE) device...",Decrypt the pcap data using the -o option.,Use Btlejacking to hijack the connection.,Use the BlueZ tool hcitool inq to reveal more information...,The operation cannot continue without the LTK,D
"Following an attack on its mobile infrastructure, an e-commerce company is reconsidering its mobile security strategies...",Implementation of certificate pinning to protect against Man-In-The-Middle (MITM) attacks.,Implementing a mobile application management solution...,Conducting regular vulnerability assessments...,Leveraging secure coding practices...,A
"In an enterprise environment, the network security team is alerted to unusual network behavior...",Covert Data Interception via X.25 Packet Fragmentation,Steganographic Payload Embedding within SMTP Email Headers,Covert Channel Establishment through Modbus Protocol Manipulation,Encrypted Data Extraction via HTTP Header Field Overflows,C
"A critical infrastructure organization, responsible for managing power grids...",A targeted IoT botnet attack exploiting vulnerabilities in smart meters...,A coordinated TCP SYN flood attack targeting the control systems...,A DNS Water Torture attack targeting the domain name resolution infrastructure...,A Layer 7 HTTP flood attack targeting the web-based interfaces...,C
A multinational corporation recently survived a severe Distributed Denial-of-Service (DDoS) attack...,Black Hole Routing,Sinkholing,Rate Limiting,Load Balancing,D
A corporation has transitioned to a public cloud service. The security team found a critical flaw in the API...,Compromise of encrypted data at rest,Unauthorized access to cloud resources,DDoS attack on cloud servers,Vulnerability to physical security breaches,B
Your role as a network administrator in a mid-sized company involves protecting the company's web servers...,SYN flood attack,ICMP flood attack,HTTP flood attack,UDP flood attack,C
Your team is working on a network security audit for a client who is particularly concerned...,The misuse of a network's DNS servers by attackers...,The initiation of a SYN flood attack from spoofed IP addresses.,The exploitation of insecure network protocols...,The injection of malicious code into network traffic...,B
"As a cybersecurity analyst at XYZ Corp., you're examining system logs and notice an array of activities...",Immediately opt for the radical approach...,Take the extreme measure of initiating a complete system format...,Implement a proactive defensive strategy by running honeypots...,"Employ a systematic, multi-layered strategy starting with specialized rootkit detection tools...",B
"As a cybersecurity analyst for an insurance company, you are educating employees...",An attacker pretends to be an employee and asks the security officer to let them into the building...,An employee receives an email claiming to be from the IT department...,A stranger leaves a USB drive labelled 'Company Salaries' in the company parking lot.,An attacker calls an employee and impersonates a vendor...,C
A system analyst wants to implement an encryption solution that allows safe key distribution...,Symmetric encryption,Asymmetric encryption,Hash functions,Disk encryption,B
"During a cybersecurity training session at your organization, you present several hypothetical scenarios...","John, an employee, leaves his computer unlocked while going for lunch...","Mary, an IT executive, uses a packet sniffer to monitor network traffic...","Sarah, a new recruit, receives a call from someone claiming to be from the IT department...","Alex, a system administrator, inadvertently introduces malware into the network...",C
"In a highly secure corporate environment, the network security team detects suspicious network activity...",Covert Data Exfiltration through DNS Tunneling within HTTPS Traffic,Encrypted ICMP Tunneling for Covert Communication within Ping Requests,Covert Channel Establishment via Steganography within Image Transfer Protocols,Manipulative SYN Flood Attacks for Diversionary Traffic Redirection,A
A multinational corporation provides its employees with mobile devices to support remote work...,Man-in-the-Middle (MitM) Attack Interfering with Communication...,Jailbreaking/Rooting Exploiting Vulnerabilities to Remove Software Restrictions...,Clickjacking Attack Embedding Malicious Links or Buttons in Legitimate Apps...,Remote Access Trojan (RAT) Implanting Malicious Software on Mobile Devices...,D
"As a recent graduate, you've landed your first job as a junior cybersecurity analyst...",A hacker who is primarily motivated by financial gain...,A hacker who uses their skills to promote a political agenda or a social cause...,A hacker who is hired by an organization to deliberately seek out and fix security vulnerabilities...,A hacker who is not associated with any organization and hacks systems out of curiosity...,B
You are a cybersecurity analyst at a financial institution. Your company has a strict policy against any unencrypted protocols...,Nmap,Wireshark,Netcat,Nessus,B
An attacker gained access to a user's encrypted disk without having the decryption key...,Exploiting vulnerabilities in disk encryption software,Executing a dictionary attack on the Public Key Infrastructure,Employing a rainbow table attack on email encryption,Conducting a man-in-the-middle attack on the HTTPS connection,A
"Consider a scenario where you, as an ethical hacker, have been contracted to perform a penetration test...",Conduct an in-depth device forensic analysis on a sample of the iOS devices.,Check for irregular network traffic patterns coming from the iOS devices.,Run an antivirus scan across all the iOS devices in the company.,Analyze the company's iTunes backups for evidence of the malicious application.,A
A cybersecurity firm has deployed a comprehensive defense system...,Polymorphic Malware Variants Generating Unique Payloads to Bypass Signature-Based Detection by IDS,Protocol-Level Evasion Techniques Fragmenting Packets to Evade Stateful Inspection...,Honeypot Spoofing Attacks Mimicking Legitimate Network Services...,Covert Channel Communication Exploiting Unused IP Header Fields...,A
"While performing a vulnerability assessment for XYZ Corporation, you discover that several key systems are regularly interacting...",Implement an aggressive zero-trust model across the board...,Initiate a deep-dive forensic analysis on the systems involved...,Prioritize a behavioral analytics solution that profiles normal system behaviors...,Institute a company-wide training session on the dangers of unsolicited communications...,C
"As a newly appointed ethical hacker for XYZ Corporation, you have been assigned your first major task...",TCP Connect Scan,ACK Scan,FIN Scan,Stealth Scan (SYN Scan),D
A major financial institution is experiencing persistent Denial-of-Service (DoS) attacks...,A distributed SQL injection attack targeting the institution's online banking database servers...,A coordinated UDP flood attack exploiting vulnerabilities in the institution's DNS infrastructure...,A zero-day exploit targeting the institution's web server software...,A synchronized Layer 3 Smurf attack targeting the institution's internet-facing routers...,D
"Working as an Information Security Analyst at a technology firm, you've been asked to design training material...",An attacker convinces an employee to visit a malicious site...,"An attacker intercepts network traffic, captures unencrypted session cookies, and uses these to impersonate the user.",An attacker uses social engineering techniques to trick an employee...,An attacker exploits a vulnerability in the company's network firewall...,B
