question_text,option_a,option_b,option_c,option_d,correct_option
"You are currently serving as a cybersecurity analyst at a global banking corporation. Your team has recently identified a series of irregular incidents that indicate a potential backdoor attack on the company's intricate network system. Some of these irregularities include a significant rise in outbound network traffic during non-working hours, unexpected and unaccounted system reboots, and strangely modified system files. Your primary focus now is to detect any hidden backdoor in the system, neutralize it, and ensure the overall integrity of the systems involved, while preventing any further security breaches. Given the complexity of the situation and the importance of maintaining the bank's network security, what combination of measures would be most effective in accurately identifying the potential backdoor, neutralizing it, and ensuring the system's security?","Review the firewall logs regularly, perform a thorough analysis of network traffic during  nonworking hours, and carry out an immediate system shutdown and reboot.","Implement stringent password policies, enforce multi-factor authentication (MFA) for all users, and conduct regular vulnerability assessments of the system.","Perform detailed monitoring of system and file activity, incorporate anomaly detection techniques in the security framework, and utilize advanced anti-malware tools for comprehensive system scans.","Implement strict access control lists (ACLs), ensure regular updates of security patches, and conduct an extensive audit of user accounts and privileges periodically.",A
"Following an attack on its mobile infrastructure, an e-commerce company is reconsidering its mobile security strategies. In an event where an attacker has been able to gain partial root access to the mobile application, which of these tactics will offer the most effective barrier to additional exploitation?",Implementation of certificate pinning to protect against Man-In-The-Middle (MITM) attacks.,Implementing a mobile application management solution to control access rights and user permissions.,Conducting regular vulnerability assessments and penetration testing on the mobile application.,Leveraging secure coding practices and automated code review processes in the development stage.,A
"A critical infrastructure organization, responsible for managing power grids, is under persistent attack by sophisticated adversaries attempting to disrupt its operations through Denial-of-Service (DoS) attacks. These attacks pose a significant threat to public safety and national security, requiring immediate action from the security team to mitigate the risks effectively. Considering the scenario described, which sophisticated Denial-of-Service (DoS) technique, resembling a scenario-based attack, presents the greatest challenge for the security team to detect and mitigate effectively, potentially endangering the stability of the power grid?","A targeted IoT botnet attack exploiting vulnerabilities in smart meters deployed across the power grid infrastructure, flooding network traffic to overwhelm communication channels.","A coordinated TCP SYN flood attack targeting the control systems of power substations, exhausting their resources and disrupting communication with central monitoring stations.","A DNS Water Torture attack targeting the domain name resolution infrastructure of the power grid's control network, causing intermittent service disruptions by overwhelming DNS servers with malicious queries.","A Layer 7 HTTP flood attack targeting the web-based interfaces of critical power grid management applications, inundating them with a barrage of HTTP requests to render them unresponsive.",A
"A multinational corporation recently survived a severe Distributed Denial-of-Service (DDoS) attack, which caused significant downtime and resulted in substantial financial losses. After implementing enhanced security measures, the company contracted you as a cybersecurity consultant to assess their new infrastructure. During the audit, you discovered that the organization uses both hardware and cloud-based solutions to distribute incoming traffic. The primary purpose of these solutions is to absorb and mitigate the effects of a DDoS attack, ensuring that legitimate requests are not affected during such an event. What type of DDoS mitigation strategy is the company utilizing?","Black Hole Routing: This approach directs all traffic into a non-existent interface (the ""black hole""), which wouldn't distribute traffic but would drop it, making it inconsistent with the company's strategy.","Sinkholing: This technique reroutes traffic to a ""sinkhole,"" a designated IP address where traffic can be analyzed. However, this doesn't align with the company's strategy of distributing incoming traffic.","Rate Limiting: This technique controls the traffic rate using bandwidth management. It doesn't distribute the traffic but rather restricts it, making it inconsistent with the company's strategy.","Load Balancing: This approach distributes network or application traffic across many resources to optimize resource use, minimize latency, and maximize throughput. This is consistent with the company's strategy of distributing incoming traffic",A
A corporation has transitioned to a public cloud service. The security team found a critical flaw in the API of the cloud service provider. What is the potential threat they are most likely to face?,Compromise of encrypted data at rest,Unauthorized access to cloud resources,DDoS attack on cloud servers,Vulnerability to physical security breaches,A
"Your role as a network administrator in a mid-sized company involves protecting the company's web servers from potential security threats. Recently, your company's web server experienced a Distributed Denial of Service (DDoS) attack. In explaining the situation to your team, you mention the attack specifically targeted the web server's application layer. Which type of DDoS attack was most likely used against your company's web server?",SYN flood attack,ICMP flood attack,HTTP flood attack,UDP flood attack,A
A system analyst wants to implement an encryption solution that allows safe key distribution. Which encryption method should the analyst consider?,Symmetric encryption,Asymmetric encryption,Hash functions,Disk encryption,A
"A multinational corporation provides its employees with mobile devices to support remote work and enhance productivity. Recently, the security team detected suspicious activities indicating potential vulnerabilities in the mobile platforms, raising concerns about unauthorized access and data leakage. The team is tasked with identifying advanced hacking techniques targeting mobile platforms and implementing robust measures to enhance mobile security and prevent intrusions. Given the scenario described, which sophisticated hacking technique, resembling a scenario-based attack, poses the greatest challenge for the security team to detect and mitigate effectively, potentially compromising the security of the multinational corporation's mobile platforms?","Man-in-the-Middle (MitM) Attack Interfering with Communication between Mobile Devices and Corporate Servers to Intercept Sensitive Data, such as Corporate Emails and Documents","Jailbreaking/Rooting Exploiting Vulnerabilities to Remove Software Restrictions on Mobile Devices, Allowing Installation of Unauthorized Apps and Access to Restricted Functions","Clickjacking Attack Embedding Malicious Links or Buttons in Legitimate Apps to Trick Users into Performing Unintended Actions, such as Providing Credentials or Authorizing Transactions","Remote Access Trojan (RAT) Implanting Malicious Software on Mobile Devices to Gain Unauthorized Remote Access and Monitor User Activities, such as Keystrokes and Screen Capture",A
"As a recent graduate, you've landed your first job as a junior cybersecurity analyst for a local company. Your team leader is explaining the different types of hackers and their motivations. He mentions the term ""hacktivist."" According to the information you recall from your CEH v12 study material, which of the following best describes a hacktivist?",A hacker who is primarily motivated by financial gain and often engages in illegal activities such as identity theft.,"A hacker who uses their skills to promote a political agenda or a social cause, often by launching attacks against systems to draw attention to their cause.",A hacker who is hired by an organization to deliberately seek out and fix security vulnerabilities in their systems.,A hacker who is not associated with any organization and hacks systems out of curiosity or to gain knowledge.,A
"You are a cybersecurity analyst at a financial institution. Your company has a strict policy against any unencrypted protocols. You've noticed some data packets being sent via HTTP rather than HTTPS on the network. This raises your concern because HTTP is a protocol that sends data in plaintext. To further investigate this matter, you decide to use a sniffing tool. Which of the following would be the most appropriate choice?",Nmap,Wireshark,Netcat,Nessus,A
An attacker gained access to a user's encrypted disk without having the decryption key. Which method was likely used by the attacker?,Exploiting vulnerabilities in disk encryption software,Executing a dictionary attack on the Public Key Infrastructure,Employing a rainbow table attack on email encryption,Conducting a man-in-the-middle attack on the HTTPS connection,A
